,Rank,Player,Style,Team,Rating,CareerBestRating,Opposition,Year
0,1,Babar Azam,RH,Pakistan,824,898,West Indies,2022
1,2,Shubman Gill,RH,India,801,847,Australia,2023
2,3,Virat Kohli,RH,India,768,909,England,2018
3,4,Rohit Sharma,RH,India,746,882,SriLanka,2019
4,5,Harry Tector,RH,Ireland,746,767,Afghanistan,2024
5,6,Daryl Mitchell,RH,New Zealand,728,750,India,2023
6,7,David Warner,LH,Australia,723,869,Pakistan,2017
7,8,Pathum Nissanka,RH,Sri Lanka,711,728,Bangladesh,2024
8,9,Dawid Malan,LH,England,707,730,Netherlands,2023
9,10,Rassie van,RH,South Africa,701,796,England,2022
10,11,Heinrich Klaasen,RH,South Africa,697,757,Bangladesh,2023
11,12,Shreyas Iyer,RH,India,689,710,NewGuinea,2023
12,13,Fakhar Zaman,LH,Pakistan,682,784,NewGuinea,2023
13,14,Charith Asalanka,RH,Sri Lanka,681,683,Bangladesh,2024
14,15,Shai Hope,RH,West Indies,676,802,Bangladesh,2019
15,16,Ibrahim Zadran,RH,Afghanistan,673,692,Australia,2023
16,17,Imam-ul-Huq,RH,Pakistan,672,815,West Indies,2022
17,18,KL Rahul,RH,India,666,674,South Africa,2023
18,19,David Miller,LH,South Africa,654,673,Australia,2023
19,20,Travis Head,LH,Australia,654,679,India,2023
20,21,Rahmanullah Gurbaz,RH,Afghanistan,649,649,Ireland,2024
21,22,Steve Smith,RH,Australia,644,740,Pakistan,2017
22,23,Marnus Labuschagne,RH,Australia,626,631,England,2023
23,24,Aiden Markram,RH,South Africa,623,657,NewGuinea,2023
24,25,Paul Stirling,RH,Ireland,611,698,Netherlands,2021
25,26,Mushfiqur Rahim,RH,Bangladesh,606,739,SriLanka,2021
26,27,Scott Edwards,RH,Netherlands,601,644,Bangladesh,2023
27,28,Glenn Maxwell,RH,Australia,600,728,India,2016
28,29,Jos Buttler,RH,England,597,731,West Indies,2019
29,30,Mohammad Rizwan,RH,Pakistan,597,602,Australia,2023
30,31,Temba Bavuma,RH,South Africa,596,691,Australia,2023
31,32,Gerhard Erasmus,RH,Namibia,596,618,United,2023
32,33,Tom Latham,LH,New Zealand,589,657,Pakistan,2023
33,34,Sikandar Raza,RH,Zimbabwe,587,627,India,2022
34,35,Kane Williamson,RH,New Zealand,583,792,South Africa,2015
35,36,Will Young,RH,New Zealand,580,581,Bangladesh,2023
36,37,Rahmat Shah,RH,Afghanistan,578,635,SriLanka,2022
37,38,Ben Stokes,LH,England,576,684,NewGuinea,2019
38,39,Najmul Hossain,RH,Bangladesh,574,587,SriLanka,2024
39,40,Jonny Bairstow,RH,England,573,796,India,2021
40,41,Jason Roy,RH,England,569,773,Australia,2019
41,42,Kusal Mendis,RH,Sri Lanka,568,625,Zimbabwe,2017
42,43,Joe Root,RH,England,565,816,SriLanka,2018
43,44,Nicholas Pooran,LH,West Indies,565,634,Ireland,2020
44,45,Devon Conway,LH,New Zealand,562,603,Bangladesh,2023
45,46,Mitchell Marsh,RH,Australia,560,635,NewGuinea,2016
46,47,Sri Lanka557575,RH,Sri Lanka,557,575,Afghanistan,2024
47,48,George Munsey,RH,Scotland,548,587,Namibia,2022
48,49,Shakib Al,RH,Bangladesh,538,683,Pakistan,2019
49,50,Assad Vala,RH,Guinea,536,550,Nepal,2023
50,51,Ishan Kishan,RH,India,534,625,SriLanka,2023
51,52,Sean Williams,RH,Zimbabwe,533,571,SriLanka,2023
52,53,Hashmatullah Shahidi,RH,Afghanistan,532,549,Netherlands,2023
53,54,Rachin Ravindra,LH,New Zealand,532,560,SriLanka,2023
54,55,Azmatullah Omarzai,RH,Afghanistan,520,540,SriLanka,2024
55,56,Mahmudullah Bangladesh519595,RH,Bangladesh,519,595,India,2022
56,57,Vriitya Aravind,RH,United Arab Emirates,518,538,Oman,2023
57,58,Gajanand Singh,RH,USA,512,512,United,2023
58,59,Andy Balbirnie,RH,Ireland,511,585,South Africa,2021
59,60,Litton Das,RH,Bangladesh,510,627,Zimbabwe,2022
60,61,Aaron Jones,RH,USA,510,540,Papua,2023
61,62,Netherlands509517 v,RH,Netherlands,509,517,West Indies,2023
62,63,Alex Carey,LH,Australia,506,669,West Indies,2021
63,64,Muhammad Waseem,RH,United Arab Emirates,504,511,SriLanka,2023
64,65,Aqib Ilyas,RH,Oman,501,584,USA,2020
65,66,Monank Patel,RH,USA,493,554,Papua,2022
66,67,Tamim Iqbal,RH,Bangladesh,492,728,West Indies,2018
67,68,Richie Berrington,RH,Scotland,491,555,USA,2022
68,69,Kyle Coetzer,RH,Scotland,491,678,Papua,2019
69,70,Mohammad Nabi,RH,Afghanistan,488,550,Bangladesh,2016
70,71,Zeeshan Maqsood,RH,Oman,487,514,Ireland,2023
71,72,Curtis Campher,RH,Ireland,487,487,Afghanistan,2024
72,73,Michael Leask,RH,Scotland,481,491,Zimbabwe,2023
73,74,Glenn Phillips,RH,New Zealand,481,496,India,2023
74,75,Aasif Sheikh,RH,Nepal,478,496,Papua,2023
75,76,Ayaan Khan,RH,Oman,476,476,West Indies,2023
76,77,Towhid Hridoy,RH,Bangladesh,476,476,SriLanka,2024
77,78,Kushal Bhurtel,RH,Nepal,474,474,Netherlands,2024
78,79,Asif Khan,RH,United Arab Emirates,468,476,Canada,2024
79,80,Kashyap Prajapati,RH,Oman,464,464,West Indies,2023
80,81,Henry Nicholls,LH,New Zealand,463,596,Bangladesh,2021
81,82,Steven Taylor,RH,USA,462,501,Jersey,2023
82,83,Brandon McMullen,RH,Scotland,462,462,Canada,2024
83,84,Michael Van,RH,Namibia,461,465,Nepal,2024
84,85,Craig Ervine,RH,Zimbabwe,460,522,Afghanistan,2015
85,86,Tony de,RH,South Africa,456,456,India,2023
86,87,Janith Liyanage,RH,Sri Lanka,455,455,Bangladesh,2024
87,88,Jatinder Singh,RH,Oman,453,506,United,2023
88,89,Iftikhar Ahmed,RH,Pakistan,448,457,NewGuinea,2023
89,90,Shikhar Dhawan,LH,India,447,807,Pakistan,2018
90,91,Brandon King,RH,West Indies,444,471,Oman,2023
91,92,Namibia444444 v,RH,Namibia,444,444,Netherlands,2024
92,93,Rohit Paudel,RH,Nepal,442,519,Papua,2023
93,94,Vikramjit Singh,RH,Netherlands,440,467,Pakistan,2023
94,95,Hardik Pandya,RH,India,438,561,SriLanka,2021
95,96,Najibullah Zadran,RH,Afghanistan,437,555,SriLanka,2023
96,97,Bas de,RH,Netherlands,437,456,NewGuinea,2023
97,98,George Dockrell,RH,Ireland,435,460,Zimbabwe,2023
98,99,Avishka Fernando,RH,Sri Lanka,435,592,South Africa,2021
99,100,Haris Sohail,RH,Pakistan,434,618,Zimbabwe,2020
